ODDS,CS,count
1.8-4.18-4.34,3-2,1
1.81-3.44-5.53,2-1,1
1.81-3.5-5.56,2-1,1
1.81-3.51-5.44,1-0,1
1.81-3.53-5.33,2-1,1
1.81-3.54-5.45,3-0,1
1.81-3.59-5.3,1-1,1
1.81-3.6-5.23,4-0,1
1.81-3.62-4.97,2-1,1
1.81-3.73-4.81,1-0,1
1.81-3.77-4.74,2-2,1
1.81-3.8-4.68,2-1,1
1.81-3.81-4.85,2-0,1
1.81-3.84-4.74,2-0,1
1.81-3.85-4.68,2-3,1
1.81-3.88-4.58,1-0,1
1.81-3.88-4.62,1-3,1
1.81-3.89-4.61,2-0,1
1.81-3.98-4.51,5-1,1
1.81-3.98-4.54,0-0,1
1.81-4.02-4.57,0-0,1
1.81-4.12-4.38,1-0,1
1.82-3.47-5.49,1-0,1
1.82-3.53-5.34,0-3,1
1.82-3.61-5.02,2-4,1
1.82-3.77-4.67,0-1,1
1.82-3.79-4.61,1-0,1
1.82-3.8-4.71,1-0,1
1.82-3.8-4.82,2-0,1
1.82-3.83-4.76,3-1,1
1.82-3.9-4.55,2-1,1
1.82-3.9-4.56,2-0,1
1.82-3.91-4.58,3-1,1
1.82-3.98-4.45,2-1,1
1.83-3.1-5,4-0,1
1.83-3.1-5.25,1-2,1
1.83-3.2-4.75,3-0,1
1.83-3.2-5,2-0,1
1.83-3.25-4.5,2-1,1
1.83-3.3-4.6,1-1,1
1.83-3.55-5.04,1-0,1
1.83-3.55-5.07,2-0,1
1.83-3.58-5.11,0-3,1
1.83-3.6-4.33,0-1,1
1.83-3.6-5.05,0-0,1
1.83-3.61-4.85,1-0,1
1.83-3.62-4.99,1-1,1
1.83-3.64-5.01,2-2,1
1.83-3.64-5.05,1-0,1
1.83-3.68-4.81,3-3,1
1.83-3.69-4.97,1-0,1
1.83-3.7-4.78,3-2,1
1.83-3.78-4.71,3-2,1
1.83-3.79-4.67,2-0,1
1.83-3.82-4.59,3-0,1
1.83-3.82-4.62,2-0,1
1.83-3.83-4.62,0-0,1
1.83-3.84-4.66,1-1,1
1.83-3.85-4.45,2-1,1
1.83-3.85-4.53,2-0,1
1.83-3.87-4.55,0-0,1
1.83-3.88-4.55,1-1,1
1.83-4.01-4.31,4-0,1
1.83-4.06-4.28,2-0,1
1.83-4.1-4.25,2-1,1
1.84-3.49-5.23,4-0,1
1.84-3.58-4.94,3-1,1
1.84-3.59-4.94,0-0,1
1.84-3.65-4.83,0-0,1
1.84-3.69-4.86,1-1,1
1.84-3.7-4.61,2-1,1
1.85-3.25-4.59,1-1,1
1.85-3.4-4.2,1-0,1
1.85-3.43-5.18,2-2,1
1.85-3.45-5,2-0,1
1.85-3.49-5.05,1-1,1
1.85-3.5-3.75,0-1,1
1.85-3.51-5.02,3-1,1
1.85-3.52-4.93,0-0,1
1.85-3.6-4.79,2-2,1
1.85-3.67-4.69,2-1,1
1.85-3.68-4.65,0-2,1
1.85-3.68-4.68,2-0,1
1.85-3.71-4.75,3-0,1
1.85-3.73-4.58,4-1,1
1.85-3.73-4.73,1-1,1
1.85-3.75-4.6,2-0,1
1.85-3.81-4.47,1-3,1
1.85-3.81-4.51,3-1,1
1.85-3.84-4.47,2-0,1
1.85-3.84-4.49,1-2,1
1.85-3.87-4.41,3-4,1
1.85-3.87-4.46,3-1,1
1.85-3.89-3.75,0-2,1
1.85-3.89-4.41,0-2,1
1.85-3.95-4.33,1-2,1
1.85-3.98-4.25,2-1,1
1.86-3.39-5.19,3-0,1
1.86-3.46-5.01,0-2,1
1.86-3.5-5.06,4-1,1
1.86-3.52-4.9,1-1,1
1.86-3.53-4.86,2-1,1
1.86-3.54-4.86,0-3,1
1.86-3.54-4.89,1-0,1
1.86-3.68-4.62,1-3,1
1.86-3.73-4.55,3-3,1
1.86-3.74-4.51,1-1,1
1.86-3.76-4.5,1-0,1
1.86-3.81-4.34,1-3,1
1.86-3.81-4.53,1-1,1
1.87-3.45-5,1-0,1
1.87-3.58-4.85,2-2,1
1.87-3.64-4.77,4-1,1
1.87-3.65-4.61,0-0,1
1.87-3.69-4.45,3-2,1
1.87-3.71-4.44,1-1,1
1.87-3.71-4.52,4-1,1
1.87-3.75-4.49,4-2,1
1.87-3.76-4.44,1-1,1
1.87-3.79-4.34,1-1,1
1.87-3.8-4.4,1-1,1
1.87-3.92-4.25,1-0,1
1.87-4-4.17,1-0,1
1.88-3.38-5.02,1-0,1
1.88-3.49-4.98,4-1,1
1.88-3.51-4.7,3-1,1
1.88-3.54-4.74,1-0,1
1.88-3.56-4.72,1-0,1
1.88-3.57-4.75,3-2,1
1.88-3.59-4.77,1-2,1
1.88-3.61-4.65,3-1,1
1.88-3.65-4.58,2-2,1
1.88-3.66-4.46,2-3,1
1.88-3.68-4.47,1-1,1
1.88-3.69-4.48,2-2,1
1.88-3.7-4.47,1-2,1
1.88-3.7-4.55,0-3,1
1.88-3.72-4.42,3-1,1
1.88-3.72-4.55,2-1,1
1.88-3.72-4.57,1-1,1
1.88-3.73-4.54,1-2,1
1.88-3.76-4.32,3-0,1
1.88-3.76-4.44,2-0,1
1.88-3.8-4.32,1-2,1
1.88-3.87-4.37,2-2,1
1.89-3.43-4.88,0-0,1
1.89-3.55-4.53,0-0,1
1.89-3.57-4.62,2-2,1
1.89-3.64-4.62,2-0,1
1.89-3.65-4.49,0-3,1
1.89-3.68-4.42,1-0,1
1.89-3.73-4.37,0-1,1
1.89-3.89-4.19,2-2,1
1.89-3.93-4.12,2-1,1
1.89-3.94-4.2,5-0,1
1.9-2.87-5.25,2-0,1
1.9-3-4.75,0-1,1
1.9-3.49-4.84,1-0,1
1.9-3.56-4.58,0-2,1
1.9-3.6-4,2-2,1
1.9-3.61-4.5,1-1,1
1.9-3.62-4.62,3-1,1
1.9-3.63-4.48,0-2,1
1.9-3.66-4.52,2-1,1
1.9-3.67-4.33,0-1,1
1.9-3.67-4.53,2-1,1
1.9-3.68-4.28,1-0,1
1.9-3.68-4.29,1-1,1
1.9-3.71-4.35,2-2,1
1.9-3.72-4.27,1-1,1
1.9-3.73-4.23,2-0,1
1.9-3.75-3.6,1-2,1
1.9-3.75-4.3,0-0,1
1.9-3.75-4.4,0-1,1
1.9-3.79-3.6,3-3,1
1.9-3.95-4.06,1-2,1
1.91-3.1-4.6,2-0,1
1.91-3.2-4.33,3-1,1
1.91-3.3-4.5,3-1,1
1.91-3.43-4.74,3-0,1
1.91-3.44-4.76,2-0,1
1.91-3.5-3.9,2-2,1
1.91-3.5-4,3-0,1
1.91-3.53-4.48,3-1,1
1.91-3.54-4.55,1-1,1
1.91-3.54-4.56,3-0,1
1.91-3.56-4.65,0-2,1
1.91-3.58-4.5,2-1,1
1.91-3.64-4.38,1-1,1
1.91-3.65-4.4,1-0,1
1.91-3.65-4.49,3-2,1
1.91-3.67-4.37,0-0,1
1.91-3.69-4.35,3-0,1
1.91-3.7-4.32,1-0,1
1.91-3.74-4.27,1-1,1
1.91-3.75-3.6,2-1,1
1.91-3.84-4.23,1-0,1
1.92-3.37-4.86,1-0,1
1.92-3.39-4.8,1-0,1
1.92-3.5-4.58,2-0,1
1.92-3.53-4.64,1-0,1
1.92-3.54-4.42,3-1,1
1.92-3.57-4.59,2-1,1
1.92-3.59-4.35,1-0,1
1.92-3.6-4.43,2-0,1
1.92-3.61-4.31,2-1,1
1.92-3.62-4.39,4-2,1
1.92-3.63-4.4,3-1,1
1.92-3.64-4.37,2-1,1
1.92-3.66-4.43,2-1,1
1.92-3.68-4.39,3-0,1
1.92-3.69-4.3,1-0,1
1.92-3.72-4.25,2-1,1
1.92-3.75-4.22,2-1,1
1.92-3.99-3.95,0-3,1
1.93-3.39-4.74,1-2,1
1.93-3.4-4.66,0-1,1
1.93-3.4-4.72,0-0,1
1.93-3.45-4.74,0-0,1
1.93-3.52-4.48,3-1,1
1.93-3.54-4.47,2-1,1
1.93-3.59-4.3,3-1,1
1.93-3.61-4.33,0-1,1
1.93-3.62-4.35,0-0,1
1.93-3.63-4.23,2-2,1
1.93-3.65-4.27,2-2,1
1.93-3.67-4.29,3-2,1
1.93-3.69-4.25,1-2,1
1.93-3.69-4.26,2-0,1
1.93-3.74-4.19,2-2,1
1.93-3.74-4.23,3-2,1
1.93-3.75-4.17,2-1,1
1.93-3.77-4.15,3-1,1
1.93-3.78-4.13,1-2,1
1.93-3.79-4.09,3-3,1
1.93-3.82-4.05,3-1,1
1.93-3.86-4,2-3,1
1.94-3.27-4.91,2-0,1
1.94-3.53-4.4,1-2,1
1.94-3.54-4.39,1-1,1
1.94-3.54-4.4,2-1,1
1.94-3.6-4.42,1-0,1
1.94-3.64-4.23,1-0,1
1.94-3.64-4.34,0-2,1
1.94-3.65-4.32,1-0,1
1.94-3.66-4.21,0-1,1
1.94-3.7-4.16,4-2,1
1.94-3.73-4.11,2-2,1
1.94-3.73-4.13,1-1,1
1.94-3.76-4.09,1-2,1
1.94-3.83-4.01,2-0,1
1.94-3.91-4.01,3-0,1
1.95-3.1-3.5,1-1,1
1.95-3.2-4.33,0-1,1
1.95-3.25-4.09,1-1,1
1.95-3.39-3.79,0-0,1
1.95-3.4-3.8,1-0,1
1.95-3.46-4.52,1-1,1
1.95-3.5-3.7,1-0,1
1.95-3.51-4.38,4-1,1
1.95-3.52-4.37,3-0,1
1.95-3.55-4.25,2-2,1
1.95-3.55-4.32,0-0,1
1.95-3.56-4.33,2-2,1
1.95-3.6-4.35,1-0,1
1.95-3.61-4.22,1-0,1
1.95-3.61-4.34,4-1,1
1.95-3.62-4.24,1-0,1
1.95-3.63-4.21,2-0,1
1.95-3.66-4.18,0-1,1
1.95-3.69-4.22,2-2,1
1.95-3.76-4.04,1-1,1
1.95-3.81-4.09,4-4,1
1.95-4.05-3.75,2-1,1
1.96-3.25-4.83,0-0,1
1.96-3.41-4.61,2-1,1
1.96-3.44-4.44,1-1,1
1.96-3.51-4.33,4-0,1
1.96-3.56-4.25,0-1,1
1.96-3.59-4.24,1-1,1
1.96-3.62-4.18,2-0,1
1.96-3.62-4.19,1-0,1
1.96-3.62-4.26,2-1,1
1.96-3.63-4.17,2-0,1
1.96-3.67-4.14,1-1,1
1.96-3.73-4.05,2-2,1
1.96-3.74-4.03,3-1,1
1.96-3.77-4,0-2,1
1.96-3.83-3.93,2-1,1
1.96-3.84-3.91,2-2,1
1.96-3.85-3.91,1-4,1
1.96-3.86-3.92,0-1,1
1.97-3.46-4.46,2-0,1
1.97-3.51-4.19,1-3,1
1.97-3.57-4.19,1-1,1
1.97-3.57-4.2,4-1,1
1.97-3.58-4.19,3-2,1
1.97-3.59-4.1,2-0,1
1.97-3.7-4.06,5-1,1
1.97-3.72-4.03,4-3,1
1.97-3.73-4,2-0,1
1.97-3.76-3.95,2-1,1
1.97-3.78-3.97,0-3,1
1.98-3.24-4.73,0-1,1
1.98-3.3-4.7,1-2,1
1.98-3.39-4.44,1-1,1
1.98-3.41-4.51,2-1,1
1.98-3.43-4.27,3-1,1
1.98-3.48-4.39,2-2,1
1.98-3.49-4.37,1-1,1
1.98-3.53-4.22,3-2,1
1.98-3.56-4.16,0-0,1
1.98-3.56-4.18,0-0,1
1.98-3.56-4.26,2-2,1
1.98-3.58-4.24,1-0,1
1.98-3.59-4.12,0-0,1
1.98-3.6-4.12,2-1,1
1.98-3.61-4.1,2-1,1
1.98-3.63-4.16,0-2,1
1.98-3.64-4.07,2-1,1
1.98-3.91-3.79,2-0,1
1.99-3.08-5.05,2-0,1
1.99-3.31-4.53,1-0,1
1.99-3.37-4.5,0-0,1
1.99-3.38-4.5,1-1,1
1.99-3.4-4.36,2-1,1
1.99-3.41-4.35,4-0,1
1.99-3.42-4.34,2-1,1
1.99-3.43-4.41,0-2,1
1.99-3.47-4.25,1-1,1
1.99-3.47-4.36,0-1,1
1.99-3.52-4.2,0-0,1
1.99-3.52-4.29,1-0,1
1.99-3.53-4.2,0-1,1
1.99-3.59-4.09,2-1,1
1.99-3.61-3.98,2-2,1
1.99-3.63-4.04,0-1,1
1.99-3.65-4.03,1-0,1
1.99-3.67-3.99,5-1,1
1.99-3.7-3.98,0-1,1
1.99-3.71-3.97,1-2,1
1.99-3.74-3.92,1-3,1
1.99-3.86-3.86,4-0,1
10-5.25-1.29,1-4,1
10-6.1-1.32,1-2,1
10.12-5.36-1.36,0-2,1
10.24-5.81-1.32,0-2,1
10.26-5.79-1.33,0-3,1
10.3-5.5-1.35,0-1,1
10.3-5.93-1.33,0-1,1
10.33-5.62-1.34,0-4,1
10.5-5.07-1.36,0-2,1
10.52-5.14-1.36,0-5,1
10.54-5.51-1.34,0-2,1
10.55-5.8-1.33,0-2,1
10.61-4.69-1.4,2-4,1
10.61-5.92-1.31,0-2,1
10.75-5.65-1.33,0-3,1
10.95-5.55-1.34,0-2,1
11-5-1.29,0-1,1
11.14-5.79-1.32,1-2,1
11.15-6.15-1.29,1-1,1
11.73-5.12-1.35,2-1,1
11.86-6.24-1.29,1-2,1
11.96-5.8-1.31,1-0,1
12.01-5.33-1.33,0-4,1
12.08-6.86-1.26,2-1,1
12.11-5.3-1.34,0-1,1
12.25-6.25-1.28,1-0,1
12.4-5.99-1.29,1-3,1
12.41-6.83-1.26,2-3,1
12.56-6.18-1.28,0-1,1
12.6-6.95-1.26,0-1,1
12.7-6.65-1.26,0-3,1
12.75-6-1.28,0-3,1
12.96-6.73-1.26,0-0,1
13-5.9-1.29,1-1,1
13.09-6.54-1.26,1-4,1
13.18-6.83-1.25,0-2,1
13.24-7.1-1.24,0-2,1
13.25-6.89-1.25,0-2,1
13.5-6.65-1.25,0-5,1
13.5-7.15-1.23,0-1,1
13.58-6.57-1.25,0-4,1
13.66-6.14-1.28,1-5,1
13.66-6.48-1.25,1-4,1
13.92-6.14-1.27,0-2,1
14.23-7.5-1.22,1-1,1
14.45-6.49-1.25,0-1,1
14.8-7.5-1.21,2-2,1
15-5-1.25,0-1,1
15-5.5-1.22,0-0,1
15-6.5-1.18,0-5,1
15-6.95-1.24,2-3,1
15-7-1.16,2-4,1
15-7-1.17,0-1,1
15.25-8.26-1.19,2-1,1
15.5-8.24-1.2,1-2,1
15.9-6.51-1.23,0-1,1
16-6.85-1.22,0-0,1
16.51-6.43-1.23,1-3,1
16.96-7.42-1.2,0-1,1
17-5.75-1.19,1-2,1
17-6.5-1.16,0-1,1
17-8.5-1.12,0-3,1
17.53-7.43-1.2,0-2,1
17.8-6.9-1.21,1-2,1
18.27-7.64-1.19,0-2,1
18.45-8.52-1.18,0-1,1
19.09-8.14-1.18,0-3,1
19.65-8.4-1.18,1-2,1
2-1.55-4.2,2-0,1
2-1.57-4.5,4-0,1
2-2.25-3.25,1-1,1
2-2.37-3.39,2-2,1
2-2.5-3.4,3-0,1
2-2.55-3.6,3-1,1
2-2.75-3.5,4-2,1
2-3-4.5,1-1,1
2-3.1-4,0-0,1
2-3.1-4.1,2-1,1
2-3.19-4.72,0-1,1
2-3.21-4.57,2-1,1
2-3.25-3.89,0-2,1
2-3.25-3.9,3-0,1
2-3.26-4.5,2-1,1
2-3.29-3.6,1-2,1
2-3.3-3.75,0-2,1
2-3.37-4.49,0-1,1
2-3.39-4.47,1-2,1
2-3.4-3.7,1-0,1
2-3.4-4.33,0-1,1
2-3.43-4.28,6-1,1
2-3.43-4.29,1-1,1
2-3.43-4.38,2-1,1
2-3.51-4.15,1-1,1
2-3.51-4.22,2-0,1
2-3.53-4.22,0-1,1
2-3.54-4.23,3-1,1
2-3.55-4.11,0-0,1
2-3.59-4.05,0-1,1
2-3.59-4.06,0-0,1
2-3.59-4.15,2-2,1
2-3.6-3.89,1-2,1
2-3.63-3.98,1-0,1
2-3.64-3.98,2-3,1
2-3.64-4,2-2,1
2-3.66-3.98,0-1,1
2-3.73-3.88,2-2,1
2-3.75-3.39,3-0,1
2-3.78-3.83,0-0,1
2.01-3.31-4.43,0-1,1
2.01-3.33-4.37,3-0,1
2.01-3.39-4.29,0-1,1
2.01-3.39-4.38,1-0,1
2.01-3.4-4.21,1-1,1
2.01-3.4-4.28,0-2,1
2.01-3.5-4.23,4-1,1
2.01-3.54-4.16,0-0,1
2.01-3.57-4.12,0-1,1
2.01-3.58-4.02,4-0,1
2.01-3.59-4.01,2-0,1
2.01-3.72-3.87,2-1,1
2.01-3.73-3.84,3-0,1
2.01-3.74-3.84,1-1,1
2.01-3.76-3.82,0-1,1
2.01-3.79-3.78,1-1,1
2.01-3.86-3.71,0-3,1
2.02-3.3-4.51,1-0,1
2.02-3.38-4.18,0-2,1
2.02-3.42-4.21,2-0,1
2.02-3.46-4.19,3-4,1
2.02-3.49-4.1,1-1,1
2.02-3.49-4.13,3-1,1
2.02-3.5-4.09,3-2,1
2.02-3.51-4.06,0-0,1
2.02-3.55-4.02,1-0,1
2.02-3.57-3.99,1-1,1
2.02-3.59-3.97,0-1,1
2.02-3.6-3.88,1-1,1
2.02-3.61-3.88,1-1,1
2.02-3.63-3.93,0-0,1
2.02-3.64-3.84,0-2,1
2.02-3.64-3.91,2-2,1
2.02-3.65-3.9,2-3,1
2.02-3.66-3.81,2-1,1
2.02-3.66-3.82,4-3,1
2.02-3.66-3.9,4-3,1
2.02-3.68-3.89,2-0,1
2.02-3.7-3.79,1-2,1
2.02-3.7-3.86,0-3,1
2.02-3.75-3.79,3-1,1
2.02-3.75-3.8,0-0,1
2.02-3.79-3.76,2-0,1
2.03-3.25-4.52,1-0,1
2.03-3.35-4.16,1-1,1
2.03-3.4-4.28,1-1,1
2.03-3.43-4.15,0-2,1
2.03-3.46-4.21,2-0,1
2.03-3.47-4.09,3-3,1
2.03-3.5-4.05,1-0,1
2.03-3.51-3.94,3-2,1
2.03-3.52-4.12,1-3,1
2.03-3.53-4.01,1-1,1
2.03-3.54-4,1-1,1
2.03-3.56-3.96,1-0,1
2.03-3.59-3.94,2-0,1
2.03-3.61-3.91,2-2,1
2.03-3.72-3.79,4-1,1
2.03-3.73-3.73,0-1,1
2.03-3.77-3.67,1-1,1
2.03-3.78-3.74,3-1,1
2.04-3.02-4.91,2-1,1
2.04-3.25-3.39,1-0,1
2.04-3.25-3.7,2-0,1
2.04-3.29-3.7,4-3,1
2.04-3.32-4.26,1-1,1
2.04-3.37-4.19,0-1,1
2.04-3.37-4.21,0-1,1
2.04-3.38-4.27,0-1,1
2.04-3.4-4.15,0-1,1
2.04-3.41-4.12,2-1,1
2.04-3.42-4.12,1-2,1
2.04-3.47-4.05,1-0,1
2.04-3.47-4.16,2-2,1
2.04-3.48-4.06,0-0,1
2.04-3.51-3.93,0-3,1
2.04-3.56-3.94,2-0,1
2.04-3.58-3.99,0-0,1
2.04-3.6-3.29,0-4,1
2.04-3.6-3.81,1-1,1
2.04-3.6-3.84,0-3,1
2.04-3.6-3.96,1-0,1
2.04-3.62-3.96,1-1,1
2.04-3.63-3.87,1-1,1
2.04-3.66-3.83,1-1,1
2.04-3.67-3.81,3-1,1
2.04-3.69-3.86,0-1,1
2.04-3.73-3.75,0-0,1
2.04-3.75-3.25,1-1,1
2.04-3.81-3.68,3-0,1
2.04-3.85-3.7,1-0,1
2.04-3.88-3.6,2-0,1
2.04-3.92-3.63,2-2,1
2.05-3.1-3.9,2-0,1
2.05-3.1-4.2,1-1,1
2.05-3.2-3.75,1-0,1
2.05-3.34-4.29,3-3,1
2.05-3.4-3.6,3-3,1
2.05-3.4-4.19,1-1,1
2.05-3.41-4.09,2-1,1
2.05-3.43-4.08,2-1,1
2.05-3.43-4.16,1-2,1
2.05-3.46-3.93,0-0,1
2.05-3.5-3.9,0-0,1
2.05-3.54-3.86,2-2,1
2.05-3.54-3.9,0-0,1
2.05-3.54-3.93,3-1,1
2.05-3.59-3.86,3-1,1
2.05-3.59-3.87,1-4,1
2.05-3.59-3.92,2-2,1
2.05-3.59-3.93,0-0,1
2.05-3.6-3.3,1-0,1
2.05-3.6-3.84,1-2,1
2.05-3.61-3.85,1-2,1
2.05-3.63-3.82,2-1,1
2.05-3.65-3.8,2-2,1
2.05-3.77-3.75,2-2,1
2.05-3.79-3.66,2-3,1
2.05-3.81-3.64,1-1,1
2.05-3.97-3.52,0-2,1
2.06-3.25-4.33,2-1,1
2.06-3.35-4.13,0-3,1
2.06-3.35-4.15,1-1,1
2.06-3.39-4.1,1-1,1
2.06-3.42-4.03,2-0,1
2.06-3.44-4.01,0-1,1
2.06-3.44-4.02,1-1,1
2.06-3.47-4.07,1-1,1
2.06-3.48-3.9,1-1,1
2.06-3.48-3.96,1-0,1
2.06-3.49-4.03,1-2,1
2.06-3.5-4,0-0,1
2.06-3.53-3.9,1-0,1
2.06-3.53-3.98,1-2,1
2.06-3.57-3.85,1-0,1
2.06-3.62-3.87,1-1,1
2.06-3.64-3.77,0-1,1
2.06-3.67-3.83,1-3,1
2.06-3.71-3.7,1-4,1
2.06-3.72-3.67,2-2,1
2.06-3.8-3.54,2-1,1
2.06-3.91-3.47,0-1,1
2.07-3.22-4.3,2-0,1
2.07-3.44-3.98,0-0,1
2.07-3.5-3.9,2-5,1
2.07-3.51-3.81,2-0,1
2.07-3.56-3.84,2-1,1
2.07-3.58-3.8,2-1,1
2.07-3.58-3.82,2-0,1
2.07-3.61-3.77,1-0,1
2.07-3.62-3.83,0-2,1
2.07-3.62-3.85,1-1,1
2.07-3.65-3.58,1-0,1
2.07-3.68-3.7,0-2,1
2.07-3.72-3.64,3-0,1
2.08-3.24-4.25,2-4,1
2.08-3.28-4.07,3-0,1
2.08-3.31-4.13,1-0,1
2.08-3.38-4.1,0-0,1
2.08-3.42-3.97,1-1,1
2.08-3.44-4.03,2-1,1
2.08-3.45-3.92,1-0,1
2.08-3.46-3.99,2-2,1
2.08-3.47-3.89,1-0,1
2.08-3.47-3.91,3-2,1
2.08-3.49-3.79,2-1,1
2.08-3.49-3.82,1-0,1
2.08-3.49-3.88,1-1,1
2.08-3.58-3.85,1-2,1
2.08-3.59-3.75,2-1,1
2.08-3.68-3.66,1-0,1
2.08-3.71-3.65,2-1,1
2.08-3.72-3.63,1-1,1
2.08-3.74-3.61,1-2,1
2.08-3.8-3.5,1-2,1
2.08-3.81-3.56,3-3,1
2.08-3.85-3.51,3-1,1
2.08-3.87-3.55,2-2,1
2.09-3.19-4.28,1-0,1
2.09-3.23-4.19,1-0,1
2.09-3.25-4.14,1-2,1
2.09-3.29-4.13,0-2,1
2.09-3.29-4.2,3-0,1
2.09-3.39-3.97,1-1,1
2.09-3.42-3.94,1-1,1
2.09-3.44-3.81,1-1,1
2.09-3.45-3.84,1-0,1
2.09-3.48-3.77,0-0,1
2.09-3.48-3.87,3-1,1
2.09-3.49-3.77,1-1,1
2.09-3.51-3.82,1-0,1
2.09-3.51-3.84,2-0,1
2.09-3.52-3.8,2-1,1
2.09-3.53-3.81,2-1,1
2.09-3.55-3.79,3-1,1
2.09-3.57-3.7,0-1,1
2.09-3.6-3.71,2-0,1
2.09-3.61-3.71,2-2,1
2.09-3.66-3.67,1-2,1
2.09-3.69-3.63,1-1,1
2.09-3.73-3.59,3-1,1
2.09-3.75-3.58,3-1,1
2.09-3.77-3.55,2-0,1
2.09-3.82-3.51,2-2,1
2.09-3.92-3.5,0-1,1
2.09-4.06-3.34,0-3,1
2.1-3-3.89,1-0,1
2.1-3.2-3.7,1-0,1
2.1-3.24-4.18,2-1,1
2.1-3.42-3.89,2-1,1
2.1-3.42-3.92,0-1,1
2.1-3.43-3.88,2-2,1
2.1-3.44-3.89,2-0,1
2.1-3.45-3.95,1-4,1
2.1-3.46-3.77,5-0,1
2.1-3.46-3.85,1-1,1
2.1-3.5-3.8,3-0,1
2.1-3.52-3.76,3-0,1
2.1-3.53-3.76,1-0,1
2.1-3.54-3.75,3-1,1
2.1-3.56-3.75,2-2,1
2.1-3.59-3.7,0-0,1
2.1-3.6-3.25,6-1,1
2.1-3.65-3.63,0-0,1
2.1-3.71-3.57,4-1,1
2.1-3.72-3.51,2-0,1
2.1-3.76-3.54,4-5,1
2.1-3.77-3.53,2-0,1
2.1-3.8-3.51,1-4,1
2.11-3.15-4.36,4-1,1
2.11-3.28-4.15,1-2,1
2.11-3.31-4.01,0-0,1
2.11-3.35-4.03,0-2,1
2.11-3.4-3.89,2-0,1
2.11-3.43-3.78,3-1,1
2.11-3.44-3.91,1-2,1
2.11-3.46-3.87,3-0,1
2.11-3.47-3.82,1-1,1
2.11-3.49-3.79,2-0,1
2.11-3.49-3.85,2-2,1
2.11-3.49-3.87,1-1,1
2.11-3.5-3.7,3-3,1
2.11-3.5-3.77,0-0,1
2.11-3.51-3.68,1-0,1
2.11-3.51-3.75,2-0,1
2.11-3.52-3.81,3-1,1
2.11-3.54-3.73,1-1,1
2.11-3.56-3.69,3-0,1
2.11-3.64-3.62,0-1,1
2.11-3.66-3.6,0-2,1
2.11-3.69-3.57,2-0,1
2.11-3.74-3.54,2-2,1
2.11-3.94-3.37,0-1,1
2.12-3.25-4.07,1-2,1
2.12-3.26-4.07,0-0,1
2.12-3.31-3.9,4-0,1
2.12-3.34-4.02,1-0,1
2.12-3.36-3.85,0-0,1
2.12-3.4-3.86,1-0,1
2.12-3.41-3.91,0-1,1
2.12-3.46-3.78,0-1,1
2.12-3.53-3.64,3-2,1
2.12-3.54-3.63,1-0,1
2.12-3.54-3.69,0-1,1
2.12-3.57-3.66,2-2,1
2.12-3.59-3.63,2-1,1
2.12-3.61-3.56,0-0,1
2.12-3.62-3.54,1-1,1
2.12-3.63-3.59,1-3,1
2.12-3.68-3.62,1-1,1
2.12-3.69-3.41,1-1,1
2.12-3.77-3.48,1-3,1
2.12-3.85-3.41,2-1,1
2.12-3.86-3.39,1-3,1
2.13-3.17-4.24,2-0,1
2.13-3.3-4.04,1-0,1
2.13-3.35-3.87,0-0,1
2.13-3.35-3.97,1-0,1
2.13-3.37-3.87,1-0,1
2.13-3.43-3.86,2-3,1
2.13-3.46-3.68,1-0,1
2.13-3.47-3.75,2-1,1
2.13-3.49-3.72,1-1,1
2.13-3.5-3.79,2-0,1
2.13-3.56-3.65,2-1,1
2.13-3.58-3.63,1-0,1
2.13-3.59-3.62,2-0,1
2.13-3.6-3.65,1-2,1
2.13-3.63-3.5,0-3,1
2.13-3.64-3.56,1-1,1
2.13-3.65-3.49,0-2,1
2.13-3.66-3.53,1-1,1
2.13-3.71-3.55,2-2,1
2.13-3.82-3.42,1-0,1
2.13-3.86-3.37,0-1,1
2.14-3.1-3.7,2-2,1
2.14-3.29-3.94,1-0,1
2.14-3.34-3.86,0-0,1
2.14-3.34-3.88,2-0,1
2.14-3.38-3.81,1-0,1
2.14-3.43-3.77,1-2,1
2.14-3.44-3.81,1-0,1
2.14-3.45-3.74,2-0,1
2.14-3.47-3.71,2-0,1
2.14-3.48-3.78,3-0,1
2.14-3.5-3.2,0-1,1
2.14-3.5-3.68,0-0,1
2.14-3.58-3.58,1-0,1
2.14-3.59-3.57,1-0,1
2.14-3.64-3.53,1-2,1
2.14-3.65-3.59,4-2,1
2.14-3.67-3.5,0-0,1
2.14-3.71-3.47,0-2,1
2.14-3.77-3.36,1-0,1
2.14-3.77-3.43,2-1,1
2.14-3.79-3.4,2-2,1
2.14-3.9-3.37,1-3,1
2.14-4.02-3.29,3-2,1
2.15-3.17-4.08,1-1,1
2.15-3.22-4.02,3-0,1
2.15-3.22-4.1,0-0,1
2.15-3.34-3.85,0-1,1
2.15-3.35-3.82,0-2,1
2.15-3.39-3.83,0-1,1
2.15-3.48-3.73,0-0,1
2.15-3.49-3.64,0-0,1
2.15-3.5-3.72,5-0,1
2.15-3.51-3.59,0-2,1
2.15-3.52-3.56,1-2,1
2.15-3.52-3.62,3-1,1
2.15-3.52-3.63,2-1,1
2.15-3.53-3.62,2-0,1
2.15-3.57-3.58,0-2,1
2.15-3.71-3.44,2-0,1
